"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75","infection_per_million"
"34",33,10,148412287.439636,1762927.97413376,7007521.96905116,12065280.6058392,14021238.3316907,14620527.1815758,11846997.3346336,11285231.1147,11024242.1883327,10530246.0957087,9917575.55235102,9765827.31244812,9096121.11651189,7992300.14800034,6687719.03851554,4282326.98972168,2369837.88651604,4136366.5999058,148.412287439636
"35",34,10,150659275.272815,1796057.6062503,7136428.35194486,12250277.3038791,14192111.0257764,14798411.7167469,12050609.0366709,11437075.2357457,11169725.0189479,10668557.4915462,10047968.8999009,9899021.8587928,9228976.07644835,8119105.90931221,6798518.79779455,4390905.08111455,2431511.96478593,4244013.89715778,150.659275272815
"36",35,10,148873920.365303,1768468.0323028,7023898.69492793,12168477.2510548,14131917.1472865,14737091.5240563,11956276.9785224,11274663.8570216,11009188.3524166,10518068.2058427,9910404.40914115,9764278.16753972,9095648.30862302,7989271.65728523,6684165.74761911,4303057.08950603,2381799.78341899,4157245.15873848,148.873920365303
"37",36,10,147796924.386978,1757349.6690419,6977328.27771474,12075313.8700497,14045455.8833107,14649407.6782869,11857624.1462997,11210912.5619592,10949775.9393444,10460134.4756053,9854394.31562068,9703480.67352896,9083226.9732935,7980443.4710611,6673051.987837,4178495.35593493,2309491.83617731,4031037.27191214,147.796924386978
"38",37,10,146394466.540154,1740509.2813852,6906499.34748318,11927106.5201098,13893834.8894987,14499361.0690058,11712569.9394973,11108852.5113892,10852936.9132461,10368970.1018802,9767868.92762836,9613852.54289528,8925250.67852273,7831718.35219632,6551254.13765539,4243626.70647652,2349458.55548913,4100796.06579503,146.394466540154
"39",38,10,146872895.974064,1741127.70008087,6907044.25659228,12029044.5473961,14001050.5658399,14611122.4587826,11817100.894669,11206054.1279528,10945333.8414455,10457234.5531158,9850489.61888341,9696510.42392368,8839480.64371843,7740512.01775527,6472328.17593758,4194289.51581384,2318103.81767944,4046068.81447742,146.872895974064
"40",39,10,151054738.462566,1798198.91074031,7134217.80203887,12197534.6350542,14140626.2202884,14751950.1183212,12017294.0919925,11519034.5337658,11247904.8463099,10741865.8411573,10115646.344082,9972799.70338911,9283749.89988375,8170863.87269606,6843174.78900011,4413117.14018295,2442888.667873,4263871.04579001,151.054738462566
"41",40,10,149092563.07385,1778937.72618752,7053620.56303188,12176945.1930968,14146087.3335324,14756982.6378582,11971983.6713633,11289678.926027,11024974.759772,10532016.3582657,9922678.63124593,9774131.1348341,9149344.32743208,8042860.32650264,6728014.14051327,4265760.90758873,2359763.64323551,4118782.79336294,149.09256307385
"42",41,10,148746216.816017,1772173.63610172,7025969.83765561,12065972.2038899,14010383.6285364,14618360.31075,11882846.8344756,11361084.8602834,11096168.0235717,10597920.0263063,9979875.95232881,9830945.48314421,9072373.61470839,7970252.30097804,6670955.45246259,4285266.79042183,2369642.42439544,4136025.43600699,148.746216816017
"43",42,10,150134858.599488,1785385.44111381,7073410.73543898,12099679.0556001,14036958.3935097,14656361.7928317,11934361.3856471,11461128.1926927,11194569.8720885,10691606.4292631,10066459.0184092,9917757.86308686,9146707.21312222,8045084.77062842,6742825.89818464,4475020.85428527,2479597.76666237,4327943.91692297,150.134858599488
"44",43,10,148830700.055367,1770841.25657028,7013425.73133828,12066137.0939519,14018904.5830122,14637664.2102463,11890661.331986,11336055.7909072,11071444.6707413,10574630.4522119,9959123.00617794,9810058.06038575,9122034.78842226,8016985.44182462,6709402.05209875,4301918.44579482,2379019.95493731,4152393.18476057,148.830700055367
"45",44,10,148184721.335226,1760962.96217647,6971170.9801799,12075577.012724,14034983.4403849,14658121.8929369,11899674.7227518,11280662.6751249,11016222.8427597,10523663.3384159,9912861.22260186,9762747.48744014,9004614.91656324,7906845.40851929,6617098.43799955,4270037.65899306,2363744.77939036,4125731.55626436,148.184721335226
"46",45,10,147605710.436985,1755645.63721288,6949179.89557792,12022593.9974956,13981252.1493948,14596010.3444383,11843207.4872141,11209912.753657,10946390.4012873,10457569.6152192,9852337.74961014,9705493.42396726,9005669.12866967,7911741.87370396,6620471.21242859,4265334.96055783,2361349.32654514,4121550.48000482,147.605710436985
"47",46,10,149424138.646591,1774283.51117018,7019823.9371949,12082531.5108528,14027950.5135011,14649713.45974,11923259.0333686,11393324.8041358,11124975.1734895,10625809.6551746,10007487.9185046,9862894.00962956,9135271.00733153,8028918.64473577,6722474.23501952,4383844.10226313,2426431.24090555,4235145.88957421,149.424138646591
"48",47,10,145516994.241149,1716540.49835098,6786827.68988248,11903782.345151,13888386.6870164,14509262.1518213,11711593.3381322,11046255.1580693,10789372.9280731,10309359.9004904,9713744.41278606,9559056.54102321,8864364.79572867,7769416.07370506,6494177.91498234,4153542.92646223,2295206.88193698,4006103.99753696,145.516994241149
