"","relative_coverage","vaccine_efficacy","total_mortality","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"41",0.4,0.1,91168.2089911216,141.155699145738,562.496171587547,414.119461313188,481.129584573247,2928.6102004779,5697.96363913242,5475.71836143995,5349.40397652507,5108.69729671537,4809.86074744238,4738.17562547863,7198.76568836572,6316.29644829624,5285.40079992174,14561.8382969044,8049.24665862317,14049.3303351789
"42",0.41,0.1,89752.7108888825,117.119162481809,466.799493699316,365.931678557061,427.533779184595,3281.20636776541,6552.54002249013,6170.74572564754,6026.53267089953,5756.67149731829,5424.15090032482,5340.45947699879,7149.21971102468,6276.28178534439,5240.89327340306,12382.2636016599,6838.42544110328,11935.9363009799
"43",0.42,0.1,86885.8787910973,128.536219946127,512.047236631541,391.597539557591,458.027418134734,2935.27114804364,5682.59537471486,5438.94594306725,5318.08214805828,5081.45261758745,4786.35194911611,4702.40777686877,7336.25297613154,6438.99900384726,5381.72226398963,12838.9475056539,7086.21247285909,12368.4291968895
"44",0.43,0.1,91284.1206263425,119.85047757216,477.277554687755,383.521016890667,443.52471975185,3084.76642200565,6144.11799905143,5961.56815987802,5822.48691143379,5560.97164339342,5234.88311108006,5156.52268566198,7603.27343614784,6664.96196857164,5579.91548247904,13119.9924107004,7258.0785057548,12668.408121282
"45",0.44,0.1,87178.6230688358,124.449297654107,495.434420102779,426.12583283484,493.788915127106,2926.29833623624,5695.74889955007,5354.79833050352,5231.00256401071,4998.77302903844,4710.11348328371,4634.66422836897,7284.6006670032,6386.36511249548,5344.67540606828,13162.7015299595,7251.73936295818,12657.3436536407
"46",0.45,0.1,86238.3259106762,121.310339852937,482.775814924426,358.324777010567,415.727072916273,2860.70217510837,5749.69531711336,5720.97002655829,5586.14217841134,5333.06695767047,5018.14641894411,4951.71808413396,7041.26552842494,6191.43377741866,5179.72124546464,12427.1413151009,6847.83129004699,11952.353591576
"47",0.46,0.1,80532.588570279,118.257208040224,470.420413022134,350.542221218757,410.752492354866,2831.11315521359,5491.39421845366,5135.33705015713,5021.28976929827,4802.48034502808,4528.66397686345,4444.51162703733,7156.47847959634,6281.31028756458,5254.32155873055,11224.1111005459,6196.35390167117,10815.250765483
"48",0.47,0.1,87769.8499975622,132.611614736388,527.33293450838,399.05912752334,462.348968788628,2895.98746780295,5818.22019021221,5561.2247572208,5426.916935554,5183.1133894725,4881.68473684643,4817.11441224628,6645.07601900032,5837.69600169819,4891.34838819783,13590.5441360462,7539.66884525905,13159.9020724487
"49",0.48,0.1,83460.9503063193,115.922522218276,460.819924275391,349.202146581244,406.361185746901,2852.51297997808,5804.26891257255,5443.18844217686,5315.22570991846,5076.09632271057,4781.58965440222,4706.22279884003,6723.18817037424,5895.33500621928,4919.51721878287,12193.555911937,6708.60263181284,11709.3407677724
"50",0.49,0.1,87827.3172818307,125.627490896883,499.318062150693,391.369809828512,454.923172469195,2921.80816051997,5875.37130971824,5590.87885527725,5456.75909527796,5210.90019561322,4907.7348686458,4842.2725369561,7804.15578104766,6878.58674100935,5760.79364257459,12338.5341015026,6836.2113715154,11932.0720868273
"51",0.5,0.1,88969.3247180101,127.427816981382,506.469388663592,372.280862712953,431.220030608047,2721.25823483096,5554.48541028717,5296.54461715561,5168.83053211853,4935.56816026044,4647.47697529084,4585.12964657027,7295.73070789123,6406.39169236502,5363.86071150886,14099.8857724176,7815.47098817521,13641.2931701724
"52",0.51,0.1,85972.2463717515,124.956050223978,496.259167900113,379.535187028069,438.999619405288,2979.37607382743,6025.85619211983,5704.20039738259,5564.68097114824,5314.91929489517,5008.0000416989,4942.18957444168,7277.53645169111,6417.21193567056,5371.6204844657,11899.241848678,6566.44579979865,11461.2172813762
"53",0.52,0.1,94163.2532887611,115.466604330014,458.61448178852,327.540063000545,379.482799682785,3187.85769767813,6687.70240286043,6312.67358558458,6159.02643557665,5882.04822298768,5540.553834729,5469.01713312889,7174.60206125995,6292.65101521956,5263.94426276624,13846.7903268226,7672.87658104525,13392.4057803003
"54",0.53,0.1,85138.4018645991,105.845932723912,419.977894266667,381.990167077221,444.576656401884,2819.16345117588,5714.27760552187,5513.80395284602,5383.54397472194,5140.69687291913,4839.9027166311,4769.00473080847,6667.05248105556,5854.64786354447,4901.03077634504,12788.1974714238,7064.3752196665,12330.3140974696
"55",0.54,0.1,78328.7176491752,103.581553402517,410.978398367669,340.41339033436,397.569027392585,2585.83110242939,5208.81419266956,4955.57739534184,4839.74971525276,4623.69784957203,4355.4998825978,4288.91333286971,6720.10305510817,5892.73979282904,4929.06112401731,11424.3040611377,6283.87381935549,10968.0099564973
"56",0.55,0.1,85460.1525722564,104.690196605769,415.33570563429,365.935411894694,422.923563423622,3036.14713011909,6226.51650601862,5919.17573185238,5778.94031700293,5520.82607437242,5200.84540697089,5125.01689575602,6994.61289825287,6156.77771044029,5161.12525501097,11515.7306022923,6379.91345205572,11135.6397145535
"57",0.56,0.1,82279.3849682147,105.049116663774,416.323603181755,335.744870136529,390.490762077589,2805.07389837462,5811.51101521166,5559.74124029472,5430.21652993536,5187.55661187235,4886.82051585426,4812.1407087336,6960.21457907159,6091.89673434637,5096.74801124081,11266.5796430652,6237.02972041026,10886.2474077443
"58",0.57,0.1,78379.4245270706,105.896984466671,419.626348212366,321.815033911951,376.764864530545,2691.38513944814,5592.5372762428,5317.03034791441,5194.48042023259,4964.28518879345,4676.66228069954,4600.31249982608,6718.13045804933,5878.00766544314,4912.51073301358,10574.5564535312,5840.78671859738,10194.6361141574
"59",0.58,0.1,72914.6212864207,105.170244851356,416.533726169886,332.757649421552,386.957445354164,2486.45671461137,5108.69238158368,4986.51712298671,4870.05193617378,4649.24242831218,4375.51193010125,4308.83019341087,6837.65774164651,5994.3575827872,5006.45594826182,9197.40717816869,5045.49847857862,8806.52258400106
"60",0.59,0.1,80442.5083954057,105.01542873619,415.544278058759,352.446362641314,410.622520089215,2795.72253472021,5760.94542508367,5577.31344790714,5448.86934843131,5205.03624400182,4900.46238080365,4825.29167982419,6401.49103315346,5595.61004044082,4682.11956408627,11119.7918561296,6136.11599070872,10710.1102605894
"61",0.6,0.1,75527.3839536206,90.1517075436155,356.553997226493,338.733216659864,395.34247172418,2498.93962830544,5132.97595803076,4842.4068828467,4727.27524708996,4516.28968731766,4255.91284499467,4191.27911869736,6805.8888395294,5975.40027088946,4995.26685499076,10492.0670265754,5796.1587215941,10116.7414796048
"62",0.61,0.1,78688.8891185356,105.47280190544,416.976762917042,311.946979698092,364.468887589341,2827.87812849721,5972.54489628794,5502.51652939687,5374.22884108053,5135.86968933652,4841.27808062395,4761.97215948522,6596.67225219054,5780.67577193284,4827.09222672148,10287.4541055585,5675.57284812313,9906.26815719096
"63",0.62,0.1,80660.4684527964,98.1754443127767,387.89878141263,337.058258897848,392.677078365218,2769.84098998783,5734.84424251543,5359.30625687098,5233.66239342266,5002.27876681499,4715.55455274601,4641.04297480723,6311.60662577154,5534.18124451522,4631.008509495,11701.7716724085,6487.00353484345,11322.5571256091
"64",0.63,0.1,79869.9427369742,108.181746955677,427.435294372886,355.461531162215,414.119086387437,2789.09078765502,5790.17037461489,5418.58061748154,5288.67327196236,5052.94706715519,4762.74819594313,4694.22475451618,6435.73721115885,5649.8713759706,4719.89954254696,11092.6773177195,6144.82076491589,10725.3037964559
"65",0.64,0.1,73025.4188106337,90.1440966325824,355.687904995289,321.698287100671,376.306105769416,2791.80770599006,5912.46139758758,5554.224592147,5421.92690150436,5179.52696704162,4880.5290647375,4802.49527757415,6366.58604244189,5552.45544465465,4619.20763448814,8288.7912109718,4557.24896354738,7954.32121344957
"66",0.65,0.1,78976.5490771773,95.4791198897082,376.666766988332,316.362685417011,367.889520045193,2529.521110455,5395.13620865433,5111.64307056148,4991.31371877789,4768.75621354033,4493.31083182774,4425.34400666084,6513.362974455,5720.29085919157,4790.75089329019,11555.9758462207,6383.26159392125,11141.4836572808
"67",0.66,0.1,73289.578588019,99.0588501895103,390.661623198758,284.682357380241,331.713995230291,2476.14701244263,5235.02668630434,4839.96310089672,4729.485329303,4522.57045582361,4263.55148303937,4187.78244705383,5907.90261612546,5173.18434653197,4330.30750602076,10500.3586179179,5834.14262002342,10183.0395405372
"68",0.67,0.1,78267.3918575624,88.610861567586,349.453653084524,321.606365889348,372.875058032777,2560.66170748698,5513.56250336399,5276.74711845087,5148.91634142155,4915.40696526945,4629.09597934434,4570.99934821613,6544.53189083848,5785.41805035623,4847.85320614025,10840.1310876673,6010.55981880545,10490.9619016271
"69",0.68,0.1,72294.0066050929,80.3093718172435,316.203481292909,281.97174139115,330.868320049988,2360.08306757793,5013.19178284399,4775.58957639346,4665.74461230304,4458.97452302596,4200.60951415291,4131.26603984291,6008.92494111752,5240.33048740357,4371.85719941738,10376.7446921557,5711.81366434595,9969.52358996125
"70",0.69,0.1,74593.6797395929,78.3727107175515,308.374134808909,292.681545419181,341.832414180655,2472.97968965108,5246.38587243957,5011.44853418479,4896.53921006136,4677.78966171788,4405.49560732149,4334.3160433493,6130.48416599786,5364.90606584039,4484.06537871948,10555.5248923839,5825.14648123493,10167.3373315646
"71",0.7,0.1,70844.2284696193,101.243425030919,398.197731459225,273.934090805929,318.930780377621,2473.0123367868,5366.14783349767,5248.09869765928,5125.07249024037,4893.84616479883,4606.19498805019,4542.31610345691,5746.70361526143,5035.81486759182,4218.14984304092,8944.95055182928,4936.07765121772,8615.53729851435
"72",0.71,0.1,70626.5442670756,87.8278363618336,345.223718125366,300.972337448876,353.514206676995,2415.66789778441,5149.00404920015,4737.72697359555,4626.8522704795,4422.01309304398,4169.2710761149,4099.34558435529,5846.52488537302,5106.23496286707,4253.66647575571,9813.08182634948,5427.07771879932,9472.53935474413
"73",0.72,0.1,73004.9429480249,80.1555412732819,314.785697433024,284.407913337527,333.259932237212,2345.14900800784,5113.50937288294,4843.8387453172,4727.35368769063,4516.78942749882,4256.51962458577,4196.6111622443,6123.8905303774,5379.8642010499,4499.45140387949,10330.222831831,5703.72622265155,9955.40764572706
"74",0.73,0.1,66361.8332384762,79.5722486341823,312.346047137765,296.041894044131,345.515463612489,2109.7253568228,4514.15356519384,4306.6386407703,4207.41113373369,4019.81961464688,3785.65697181441,3722.18823633723,5826.91942764572,5086.03405690799,4246.22343324968,9359.72031794488,5151.80115820162,8992.06567177862
"75",0.74,0.1,66038.7785321055,80.5036016796748,315.593397549371,293.000153325973,343.705482472545,2310.89150873962,4821.83877061622,4517.5523033068,4416.97277336275,4222.52640144534,3980.17085123273,3905.56425147666,5837.85628678756,5104.61399467181,4259.10345283693,8620.3405704348,4738.26832472927,8270.27640743748
"76",0.75,0.1,68372.915424857,77.1831527980891,302.480943111565,316.7117278782,370.914946044739,2413.57318249725,5056.50007705176,4705.957042298,4598.31039216381,4397.32018884173,4145.13112433055,4069.51716737136,5219.45611585995,4544.13842176975,3798.20218448749,9664.19668959312,5351.93618387584,9341.38588488384
"77",0.76,0.1,73921.7518038835,74.8789414690854,293.095152547971,255.982402182557,298.861617788589,2369.37141282517,5246.99758368798,4972.61259899337,4856.9545293255,4640.48610781964,4370.9697277466,4298.61784089288,6036.63550502709,5282.56340938587,4413.35173246737,10550.435794133,5813.29167902592,10146.6457685649
"78",0.77,0.1,68583.3556253126,74.8568981195267,292.644008030596,275.877680253759,322.825791624421,2334.41306103859,5088.45102443602,4731.73618858047,4621.82342245458,4417.73022720816,4164.27473709283,4093.32428543957,5075.44024774636,4438.23510939674,3709.0379789943,9891.98339634143,5482.10911230459,9568.59245625066
"79",0.78,0.1,68151.0299692159,68.4979842182783,267.374398179987,261.360569700277,306.350550226504,2305.71736553309,5026.94192465829,4775.03603087937,4664.69103595439,4457.21732520314,4199.15670270795,4128.76248294271,5247.6526600285,4577.22701948655,3820.0667340111,9569.30126270613,5272.66021760221,9203.01570517738
"80",0.79,0.1,62511.8995180815,67.1186916123061,261.813063335107,268.834942693277,316.461556811193,2233.91849775706,4941.57006695371,4578.7407316811,4474.43213094095,4279.27635188831,4035.66402581125,3961.76820856148,5134.50442421725,4486.89998906806,3747.84621529654,7860.35419749477,4320.90137190061,7541.79505205855
"81",0.8,0.1,63610.7683016638,66.6812463644432,259.768814648023,238.364700603103,280.604517216282,2169.34983956867,4761.01556127081,4474.2052885784,4373.24633602968,4180.35682588734,3939.07810266444,3866.55775199365,5165.72277814072,4503.24080891826,3758.63537160931,8586.24898351979,4730.67264919702,8257.01872545384
"82",0.81,0.1,65602.2610789111,72.2060343970882,281.395627478252,249.126030076342,289.963826257614,2166.17048341149,4805.77965056188,4531.90252054118,4425.53030904414,4228.2013098634,3984.51820409229,3922.33374654271,5854.71828292185,5158.58574456979,4320.08892375897,8467.59725722629,4678.38615294218,8165.75697522563
"83",0.82,0.1,66892.764700286,66.0966158154357,257.069468248296,235.532686023358,276.439417380327,2339.61016066823,5508.3211978275,5320.06135125358,5197.38369440444,4963.59201970389,4673.18153539604,4597.34598916586,5250.1186364075,4584.21323631608,3827.16723484016,7874.42133399263,4342.57878544556,7579.63133739708
"84",0.83,0.1,66167.4649449443,71.1105664031615,276.389035524216,251.461365398825,296.60966485593,2303.59243738396,5085.28974502159,4770.84598284332,4659.04769611871,4451.18613491924,4194.44180562228,4129.63617403695,5036.62614212857,4408.54506118215,3683.95382003439,8957.83225633357,4950.38591708262,8640.5111400548
"85",0.84,0.1,68675.0534120792,70.6222360125865,274.014725878383,257.22663078378,300.456034338544,2272.70459118632,5199.26228630977,4931.54558652308,4817.20411435969,4601.35735116204,4333.5817530519,4262.93381890778,5360.98894451384,4689.07161761627,3916.84937634621,9302.61620439667,5130.22024561173,8954.39789508066
"86",0.85,0.1,62788.7582930093,61.3807553545618,238.117089425963,254.805213941894,298.599116836837,2152.82034150451,4784.08257575076,4499.44722090749,4395.21523904402,4200.0335825897,3956.97126486015,3888.43196244469,4985.97151439306,4347.05708726588,3626.66632767256,8372.05525056381,4635.75542704719,8091.34832340626
"87",0.86,0.1,65113.2100097501,58.4464955774328,226.564003036635,258.983763227626,303.856965326755,2254.75373604681,5160.04265708359,4961.18599831615,4845.16243890742,4628.99938065121,4358.59178344851,4288.8540820625,5140.70808574948,4484.09122837273,3748.56779176407,8110.07888578275,4474.47563094594,7809.84708345053
"88",0.87,0.1,60584.1187089724,57.4730572850094,222.186154190009,236.273348660986,278.792932809098,2126.54004558506,4762.38645248424,4470.89719643191,4370.45795495685,4179.7868994613,3941.30031773992,3871.10291568279,5123.36015711019,4482.7563058944,3744.8886832136,7435.28544394606,4108.88817464964,7171.74266887136
"89",0.88,0.1,62331.8803420937,56.0640686381992,216.42012907817,223.493779764615,261.033253193791,2083.75240209752,4729.04231169388,4506.25966058832,4398.55886793097,4203.03809485791,3960.88832973512,3903.37423894862,5168.12627880075,4518.5694389764,3774.60897162581,8074.74842940149,4463.39515113397,7790.50693562813
